"Month","Measurements","157560","157561","157562","157566","157567","157568","174048","174049","174050","174051","178974"
"Jan","Temp","23.37 (5.8 - 30.1)",NA,NA,"21.85 (5 - 28.7)","22.11 (5.3 - 28.6)","20.8 (2.7 - 27.3)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)",NA
"Jan","Depth","71.09 (0.5 - 889.5)",NA,NA,"77.85 (1 - 1069)","86.09 (1 - 1038.5)","111.31 (0.5 - 1726.5)","24.44 (0.5 - 650)","13.2 (0.5 - 157.5)","13.17 (0.5 - 507.5)","13.03 (0.5 - 43)",NA
"Feb","Temp","27.92 (11.1 - 29.4)",NA,NA,"18.9 (3.2 - 27.4)","22.69 (4.9 - 29.5)",NA,"NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","23.44 (5 - 29.3)"
"Feb","Depth","6 (0.5 - 343.5)",NA,NA,"341.94 (6.5 - 1755.5)","82.4 (0.5 - 1069)",NA,"32.35 (0.5 - 800)","55.15 (0.5 - 755)","69.15 (0.5 - 844.5)","77.9 (0.5 - 1038.5)","53.48 (0 - 997.5)"
"Dec","Temp","23.4 (5.3 - 25.6)","21.82 (5.9 - 25.5)","23.46 (8.4 - 25.8)","21.52 (5.9 - 25.4)","22.92 (5.3 - 25.8)","21.62 (6.1 - 25.8)",NA,NA,NA,NA,NA
"Dec","Depth","35.65 (0.5 - 934.5)","85.55 (0.5 - 859)","30 (0.5 - 501)","69.53 (0.5 - 829)","52.89 (0.5 - 1009.5)","69.09 (0.5 - 814.5)",NA,NA,NA,NA,NA
"Mar","Temp",NA,NA,NA,NA,"23.07 (5.2 - 30.5)",NA,"NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","22.4 (4.7 - 30)"
"Mar","Depth",NA,NA,NA,NA,"86.73 (0.5 - 1040.5)",NA,"23.97 (0.5 - 755)","70.29 (0.5 - 829)","64.46 (0.5 - 979)","69.27 (0.5 - 904)","80.16 (0 - 1086.5)"
"Apr","Temp",NA,NA,NA,NA,"22.83 (3.2 - 30.7)",NA,"NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","NaN (Inf - -Inf)","25.31 (4.8 - 31.4)"
"Apr","Depth",NA,NA,NA,NA,"74.03 (0.5 - 1490)",NA,"47.33 (0.5 - 1755.5)","41.03 (0.5 - 769.5)","57.41 (0.5 - 859)","74.12 (0.5 - 979)","51.03 (0 - 1057)"
"May","Temp",NA,NA,NA,NA,NA,NA,NA,NA,"NaN (Inf - -Inf)","NaN (Inf - -Inf)",NA
"May","Depth",NA,NA,NA,NA,NA,NA,NA,NA,"89.5 (0.5 - 829)","92.46 (0.5 - 934.5)",NA
"Jun","Temp",NA,NA,NA,NA,NA,NA,NA,NA,"NaN (Inf - -Inf)","NaN (Inf - -Inf)",NA
"Jun","Depth",NA,NA,NA,NA,NA,NA,NA,NA,"89.76 (0.5 - 800)","51.02 (0.5 - 918.5)",NA
"Jul","Temp",NA,NA,NA,NA,NA,NA,NA,NA,"NaN (Inf - -Inf)","NaN (Inf - -Inf)",NA
"Jul","Depth",NA,NA,NA,NA,NA,NA,NA,NA,"92.58 (0.5 - 918.5)","91.5 (0.5 - 979)",NA
